 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
127,483.000,7112.037,9480.175,0,44679,45.516,640.913,45.048,641.133,77.888,33.120,628.517,24.792,24.792,1.000,1.000,1.000,0.997
128,145.419,20079.806,7330.329,510,44679,44.475,641.386,44.521,641.420,42.809,37.662,634.573,13.626,13.626,0.997,1.000,1.000,1.001
129,851.884,3736.447,5923.213,0,36223,57.155,668.639,56.901,668.763,103.454,40.690,652.174,32.930,32.930,1.000,1.000,1.000,1.002
130,198.572,12777.284,6378.084,70,36223,56.777,669.206,56.837,668.942,49.943,48.828,661.258,15.897,15.897,1.000,1.000,1.000,1.003
131,3290.199,6766.970,11100.917,0,54898,107.308,669.206,111.323,669.325,203.340,74.945,636.844,64.725,64.725,1.000,1.000,1.000,0.999
132,775.521,25270.102,8346.036,2401,54898,111.850,669.017,111.956,669.223,98.697,96.142,653.309,31.416,31.416,1.000,1.000,1.000,1.000
133,7981.151,8425.587,12313.550,0,55597,164.463,728.613,165.469,723.891,319.875,113.553,678.669,101.819,96.520,0.980,1.036,0.965,0.979
134,2349.666,26406.568,6485.791,3632,55597,166.261,725.699,165.846,723.867,171.829,138.913,698.352,54.695,54.695,1.000,1.000,1.000,1.001
135,7847.838,10586.351,15243.391,0,64062,50.720,729.891,53.294,730.595,318.686,0.000,680.562,101.441,94.628,0.971,1.052,0.951,0.971
136,2383.048,32544.180,7607.552,3932,64062,53.086,732.512,53.116,730.685,173.018,25.549,704.976,55.073,55.073,1.000,1.000,1.000,1.001
137,4614.911,5606.783,9589.177,0,55736,285.302,109.295,283.642,108.067,240.798,246.978,70.971,76.648,76.648,1.000,1.000,1.000,0.999
138,832.256,24492.080,7513.172,1902,55736,284.829,107.875,284.286,107.636,102.265,268.553,91.600,32.552,32.552,1.000,1.000,1.000,0.999
139,4345.706,7902.904,13587.320,0,64321,250.669,176.859,253.643,176.704,233.663,213.480,139.670,74.377,74.377,1.000,1.000,1.000,1.000
140,881.147,32847.099,10816.497,2235,64321,253.886,176.859,254.127,176.885,105.238,237.137,160.110,33.498,33.498,1.000,1.000,1.000,1.000
