 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
53,126.114,27930.978,7299.693,3841,47907,150.363,713.965,150.366,713.844,39.836,144.023,707.625,12.680,12.680,0.999,1.000,1.000,1.014
54,70.775,21896.693,8774.374,603,41900,301.673,686.996,301.630,687.002,29.728,296.941,682.265,9.463,9.463,1.000,1.000,1.000,1.006
55,353.018,27576.482,12641.291,20,57537,119.231,656.716,118.958,656.200,66.591,108.632,646.117,21.197,21.197,1.000,1.000,1.000,1.001
56,134.137,25029.064,8382.129,638,50688,72.390,540.229,72.234,540.043,41.025,65.861,533.700,13.059,13.059,1.000,1.000,1.000,1.010
57,108.312,24922.909,8020.711,1532,44785,65.104,611.862,65.080,611.722,36.863,59.237,605.995,11.734,11.734,1.000,1.000,1.000,0.997
58,67.516,20912.966,5995.035,4954,37747,301.010,570.510,300.992,570.417,29.134,296.374,565.873,9.274,9.274,1.000,1.000,1.000,0.998
59,130.376,21733.465,6801.560,3194,39619,339.713,413.523,339.798,413.589,40.430,333.278,407.088,12.869,12.869,1.000,1.000,1.000,1.012
60,384.716,27949.318,8533.088,761,52840,265.052,297.225,264.912,297.113,69.564,253.981,286.154,22.143,22.143,0.999,1.000,1.000,1.001
61,248.860,26996.667,8323.420,1147,51718,256.252,337.821,256.218,337.242,55.889,247.357,328.926,17.790,17.790,1.000,1.000,1.000,1.008
62,145.419,22498.267,7040.785,3367,44015,165.977,351.258,166.025,351.354,42.809,159.164,344.445,13.626,13.626,0.997,1.000,1.000,1.001
63,208.028,25384.328,8626.118,2155,47806,181.117,377.375,181.114,377.456,51.132,172.979,369.237,16.276,16.276,1.000,1.000,1.000,1.001
64,34.850,17310.344,7241.040,727,35486,117.054,359.680,116.937,359.707,20.810,113.742,356.368,6.624,6.624,1.000,1.000,1.000,1.000
65,97.889,27136.296,6713.919,3097,46744,108.349,288.141,108.372,288.305,35.079,102.766,282.558,11.166,11.166,1.000,1.000,1.000,1.004
66,243.022,26473.106,10395.836,1754,53394,152.445,740.840,152.241,740.751,55.294,143.645,732.039,17.601,17.601,0.999,1.000,1.000,1.006
